feature,1,2,3,4,5,6,7,8,9,10
bare_nuclei,58.86,4.39,4.1,2.78,4.39,0.59,1.17,3.07,1.32,19.33
bland_chromatin,21.96,23.43,23.57,5.71,4.98,1.32,10.4,4.1,1.61,2.93
class,0.0,65.01,0.0,34.99,0.0,0.0,0.0,0.0,0.0,0.0
clump_thickness,20.35,7.32,15.23,11.57,18.74,4.83,3.37,6.44,2.05,10.1
marginal_adhesion,57.54,8.49,8.49,4.83,3.37,3.07,1.9,3.66,0.59,8.05
mitoses,82.43,5.12,4.83,1.76,0.88,0.44,1.32,1.17,0.0,2.05
normal_nucleoli,63.25,5.27,6.15,2.64,2.78,3.22,2.34,3.37,2.2,8.78
single_epithelial_cell_size,6.44,55.05,10.4,7.03,5.71,5.86,1.61,3.07,0.29,4.54
uniformity_cell_shape,50.66,8.49,7.76,6.3,4.69,4.25,4.39,3.95,1.02,8.49
uniformity_cell_size,54.61,6.59,7.61,5.56,4.39,3.66,2.78,4.1,0.88,9.81
